Tanggal,Judul Berita,URL,Label
4 menit yang lalu,Video: Israel Ogah Tarik Pasukan dari Lebanon Meski Jika Diminta AS,https://20.detik.com/detikupdate/20260624-260624117/video-israel-ogah-tarik-pasukan-dari-lebanon-meski-jika-diminta-as,News
10 menit yang lalu,"Eropa Dilanda Panas Ekstrem, Suhu di Inggris Catat Rekor Terpanas",https://news.detik.com/internasional/d-8546144/eropa-dilanda-panas-ekstrem-suhu-di-inggris-catat-rekor-terpanas,News
35 menit yang lalu,"Petani di Sumsel Diserang Beruang Saat Berkebun, Pinggang dan Paha Robek",https://news.detik.com/berita/d-8546136/petani-di-sumsel-diserang-beruang-saat-berkebun-pinggang-dan-paha-robek,News
1 jam yang lalu,"Bos Intelijen Australia Wanti-wanti Ancaman Teror Kelompok Iran, Ada Apa?",https://news.detik.com/internasional/d-8546118/bos-intelijen-australia-wanti-wanti-ancaman-teror-kelompok-iran-ada-apa,News
1 jam yang lalu,"Warung Makan di Bekasi Ludes Dilalap Api, Diduga Akibat Korsleting",https://news.detik.com/berita/d-8546108/warung-makan-di-bekasi-ludes-dilalap-api-diduga-akibat-korsleting,News
1 jam yang lalu,Peserta SPPI Kopdes-KNPM Meninggal Saat Latihan Militer Jadi 3 Orang,https://news.detik.com/berita/d-8546099/peserta-sppi-kopdes-knpm-meninggal-saat-latihan-militer-jadi-3-orang,News
1 jam yang lalu,"ASN Tewas dalam Mobil Dinas di Juanda Disebut Hamil, Pengacara Bantah",https://news.detik.com/berita/d-8546098/asn-tewas-dalam-mobil-dinas-di-juanda-disebut-hamil-pengacara-bantah,News
1 jam yang lalu,Anak SD Pembunuh Ibu Kandung di Medan Divonis 5 Bulan Pendampingan,https://news.detik.com/berita/d-8546094/anak-sd-pembunuh-ibu-kandung-di-medan-divonis-5-bulan-pendampingan,News
1 jam yang lalu,Video: Pengiriman 112 Kg Ganja ke Medan Terungkap Usai Kecelakaan di Tapanuli,https://20.detik.com/detikupdate/20260624-260624112/video-pengiriman-112-kg-ganja-ke-medan-terungkap-usai-kecelakaan-di-tapanuli,News
1 jam yang lalu,Pelempar Molotov Salah Sasaran di Koja Kini dalam Pengejaran,https://news.detik.com/berita/d-8546090/pelempar-molotov-salah-sasaran-di-koja-kini-dalam-pengejaran,News
2 jam yang lalu,"Video Presiden Iran: Jika Tak Miliki Rudal, Israel-AS Akan Serang Kami Seperti Gaza",https://20.detik.com/detikupdate/20260624-260624110/video-presiden-iran-jika-tak-miliki-rudal-israel-as-akan-serang-kami-seperti-gaza,News
2 jam yang lalu,Video Eks Bos Taufik Hidayat: Benar Ada Duit Sayembara KDM? Kita Kasih ke Korban,https://20.detik.com/detikupdate/20260624-260624111/video-eks-bos-taufik-hidayat-benar-ada-duit-sayembara-kdm-kita-kasih-ke-korban,News
2 jam yang lalu,Umat Syiah Berkumpul Sambut Asyura di Najaf,https://news.detik.com/foto-news/d-8545043/umat-syiah-berkumpul-sambut-asyura-di-najaf,News
2 jam yang lalu,"Prof Rycko Amelza: Data BPS RI Impor Jagung Sejak 1973 dan 2026 Setop, Polri Buat Sejarah",https://news.detik.com/berita/d-8546074/prof-rycko-amelza-data-bps-ri-impor-jagung-sejak-1973-dan-2026-setop-polri-buat-sejarah,News
2 jam yang lalu,"Eks Menag Yaqut Sakit Pencernaan, Penahanan Dibantarkan ke RS Polri",https://news.detik.com/berita/d-8546063/eks-menag-yaqut-sakit-pencernaan-penahanan-dibantarkan-ke-rs-polri,News
2 jam yang lalu,Mayat Wanita dalam Mobil Dinas di Bandara Juanda Ternyata ASN Pemkab Bangkalan,https://news.detik.com/berita/d-8546045/mayat-wanita-dalam-mobil-dinas-di-bandara-juanda-ternyata-asn-pemkab-bangkalan,News
2 jam yang lalu,"3 Kali Periksa Hilman Latief, KPK Makin Yakin soal Bagi Jatah Kuota Haji",https://news.detik.com/berita/d-8546036/3-kali-periksa-hilman-latief-kpk-makin-yakin-soal-bagi-jatah-kuota-haji,News
2 jam yang lalu,Resolusi Setop Perang Iran Disahkan Bikin Trump Berang,https://news.detik.com/internasional/d-8546031/resolusi-setop-perang-iran-disahkan-bikin-trump-berang,News
2 jam yang lalu,Wamensos Apresiasi Pemkab Jember Verifikasi 14 Ribu Data Bansos,https://news.detik.com/berita/d-8546029/wamensos-apresiasi-pemkab-jember-verifikasi-14-ribu-data-bansos,News
3 jam yang lalu,Ko Erwin Bandar Narkoba Bima NTB Segera Disidang,https://news.detik.com/berita/d-8546026/ko-erwin-bandar-narkoba-bima-ntb-segera-disidang,News
3 jam yang lalu,"Andra Soni Wajibkan ASN Banten Lapor Pajak Kendaraan ke BKD, Tak Boleh Nunggak",https://news.detik.com/berita/d-8545999/andra-soni-wajibkan-asn-banten-lapor-pajak-kendaraan-ke-bkd-tak-boleh-nunggak,News
3 jam yang lalu,Masdar Hilmy: Buku 'Mengawal Pangan Menuai Aman' Ungkap Peran Polri Dukung Sektor Jagung,https://news.detik.com/berita/d-8545995/masdar-hilmy-buku-mengawal-pangan-menuai-aman-ungkap-peran-polri-dukung-sektor-jagung,News
3 jam yang lalu,Jaksa Tetapkan Eks Pejabat Kementerian PU Jadi Tersangka Suap Rp 2 M,https://news.detik.com/berita/d-8545989/jaksa-tetapkan-eks-pejabat-kementerian-pu-jadi-tersangka-suap-rp-2-m,News
3 jam yang lalu,Eks Atasan Taufik Hidayat Minta Duit Sayembara KDM Diberi ke Korban,https://news.detik.com/berita/d-8545984/eks-atasan-taufik-hidayat-minta-duit-sayembara-kdm-diberi-ke-korban,News
3 jam yang lalu,Video Momen Emak-emak 'Gerebek' Barak Narkoba di Labura,https://20.detik.com/detikupdate/20260624-260624107/video-momen-emak-emak-gerebek-barak-narkoba-di-labura,News
3 jam yang lalu,Video: Komisi X DPR Usul Gaji Guru Layaknya Minimal Rp 5 Juta,https://20.detik.com/detik-sore/20260624-260624106/video-komisi-x-dpr-usul-gaji-guru-layaknya-minimal-rp-5-juta,News
3 jam yang lalu,Waka MPR Sebut Piala Dunia Jadi Momen Tata Masa Depan Sepakbola RI,https://news.detik.com/berita/d-8545955/waka-mpr-sebut-piala-dunia-jadi-momen-tata-masa-depan-sepakbola-ri,News
3 jam yang lalu,"Sidang Perdana dr Tifa Digelar 2 Juli, Roy Suryo Tunggu Praperadilan",https://news.detik.com/berita/d-8545954/sidang-perdana-dr-tifa-digelar-2-juli-roy-suryo-tunggu-praperadilan,News
3 jam yang lalu,Ngerinya Pagar Besi Jatuh dari Layang Tomang Saat Truk Trailer Celaka,https://news.detik.com/berita/d-8545952/ngerinya-pagar-besi-jatuh-dari-layang-tomang-saat-truk-trailer-celaka,News
3 jam yang lalu,Aset Mewah Kasus Taspen dan Kemnaker Bakal Dilelang Desember,https://news.detik.com/foto-news/d-8545934/aset-mewah-kasus-taspen-dan-kemnaker-bakal-dilelang-desember,News
4 jam yang lalu,"Polisi Tangkap Pengedar Obat Keras di Serang, Sita Ribuan Butir Hexymer",https://news.detik.com/berita/d-8545947/polisi-tangkap-pengedar-obat-keras-di-serang-sita-ribuan-butir-hexymer,News
4 jam yang lalu,"Pria Tewas Usai Tabrakkan Diri ke KA di Tangerang, Sempat Teriak 'Tolong'",https://news.detik.com/berita/d-8545945/pria-tewas-usai-tabrakkan-diri-ke-ka-di-tangerang-sempat-teriak-tolong,News
4 jam yang lalu,"Antropolog UI: Ketahanan Pangan Polri Bukan Intervensi, tapi Akselerasi",https://news.detik.com/berita/d-8545944/antropolog-ui-ketahanan-pangan-polri-bukan-intervensi-tapi-akselerasi,News
4 jam yang lalu,"Usut Eksportir Sawit Manipulasi Harga, Kejagung Tunggu Audit BPKP",https://news.detik.com/berita/d-8545933/usut-eksportir-sawit-manipulasi-harga-kejagung-tunggu-audit-bpkp,News
4 jam yang lalu,Daftar Barang Rampasan Kasus Noel dkk Dilelang KPK: Velg Porsche hingga Ducati,https://news.detik.com/berita/d-8545932/daftar-barang-rampasan-kasus-noel-dkk-dilelang-kpk-velg-porsche-hingga-ducati,News
4 jam yang lalu,Koalisi Sipil Kritik Latihan Militer soal 2 SPPI Kopdes Meninggal,https://news.detik.com/berita/d-8545914/koalisi-sipil-kritik-latihan-militer-soal-2-sppi-kopdes-meninggal,News
4 jam yang lalu,Mendagri Hadiri Puncak PENAS Petani-Nelayan XVII Tahun 2026 di Gorontalo,https://news.detik.com/berita/d-8545912/mendagri-hadiri-puncak-penas-petani-nelayan-xvii-tahun-2026-di-gorontalo,News
4 jam yang lalu,Puluhan Bangkai Kapal Teronggok di Karangantu hingga Nyaris Tenggelam,https://news.detik.com/berita/d-8545908/puluhan-bangkai-kapal-teronggok-di-karangantu-hingga-nyaris-tenggelam,News
4 jam yang lalu,Jaksa Agung Ungkap Cara Lihai Benny Tjokro Jaga Aset agar Tak Mudah Dilelang,https://news.detik.com/berita/d-8545905/jaksa-agung-ungkap-cara-lihai-benny-tjokro-jaga-aset-agar-tak-mudah-dilelang,News
4 jam yang lalu,Video: Istana Respons 2 SPPI Kopdes-Kampung Nelayan Wafat saat Latihan Militer,https://20.detik.com/detikupdate/20260624-260624102/video-istana-respons-2-sppi-kopdes-kampung-nelayan-wafat-saat-latihan-militer,News
5 jam yang lalu,"Bentuk Karakter, 1.000 Taruna TNI Akan Bina Siswa Sekolah Rakyat",https://news.detik.com/berita/d-8545886/bentuk-karakter-1-000-taruna-tni-akan-bina-siswa-sekolah-rakyat,News
5 jam yang lalu,"Dukung Gelaran Drag Konten Kreator, Bamsoet Dorong Sinergi Otomotif-Ekraf",https://news.detik.com/berita/d-8545873/dukung-gelaran-drag-konten-kreator-bamsoet-dorong-sinergi-otomotif-ekraf,News
5 jam yang lalu,"Menkes Usul Penderita TBC Dapat MBG, Anggota DPR Tanya Anggaran-Pengawasan",https://news.detik.com/berita/d-8545870/menkes-usul-penderita-tbc-dapat-mbg-anggota-dpr-tanya-anggaran-pengawasan,News
5 jam yang lalu,Video: Ini Kasus yang Bikin Kantor Bea Cukai Juanda Digeledah Polisi,https://20.detik.com/detikupdate/20260624-260624101/video-ini-kasus-yang-bikin-kantor-bea-cukai-juanda-digeledah-polisi,News
5 jam yang lalu,"Video: Perabot Eks Hotel Sultan Mulai Diangkut, Ada Kasur hingga Gamelan",https://20.detik.com/detikupdate/20260624-260624100/video-perabot-eks-hotel-sultan-mulai-diangkut-ada-kasur-hingga-gamelan,News
5 jam yang lalu,Bima Arya Tegaskan ASN Harus Punya Empati dan Jiwa Melayani,https://news.detik.com/berita/d-8545866/bima-arya-tegaskan-asn-harus-punya-empati-dan-jiwa-melayani,News
5 jam yang lalu,Gerindra: Jangan Ada Upaya Bikin Retak Prabowo-Gibran,https://news.detik.com/berita/d-8545862/gerindra-jangan-ada-upaya-bikin-retak-prabowo-gibran,News
