Tanggal,Judul Berita,URL,Label,Judul Bersih,Tokenisasi,Jumlah Kata
4 menit yang lalu,Video: Israel Ogah Tarik Pasukan dari Lebanon Meski Jika Diminta AS,https://20.detik.com/detikupdate/20260624-260624117/video-israel-ogah-tarik-pasukan-dari-lebanon-meski-jika-diminta-as,News,video israel ogah tarik pasu lebanon meski minta as,"['video', 'israel', 'ogah', 'tarik', 'pasu', 'lebanon', 'meski', 'minta', 'as']",9
10 menit yang lalu,"Eropa Dilanda Panas Ekstrem, Suhu di Inggris Catat Rekor Terpanas",https://news.detik.com/internasional/d-8546144/eropa-dilanda-panas-ekstrem-suhu-di-inggris-catat-rekor-terpanas,News,eropa landa panas ekstrem suhu inggris catat rekor panas,"['eropa', 'landa', 'panas', 'ekstrem', 'suhu', 'inggris', 'catat', 'rekor', 'panas']",9
35 menit yang lalu,"Petani di Sumsel Diserang Beruang Saat Berkebun, Pinggang dan Paha Robek",https://news.detik.com/berita/d-8546136/petani-di-sumsel-diserang-beruang-saat-berkebun-pinggang-dan-paha-robek,News,tani sumsel serang beruang kebun pinggang paha robek,"['tani', 'sumsel', 'serang', 'beruang', 'kebun', 'pinggang', 'paha', 'robek']",8
1 jam yang lalu,"Bos Intelijen Australia Wanti-wanti Ancaman Teror Kelompok Iran, Ada Apa?",https://news.detik.com/internasional/d-8546118/bos-intelijen-australia-wanti-wanti-ancaman-teror-kelompok-iran-ada-apa,News,bos intelijen australia wanti wanti ancam teror kelompok iran apa,"['bos', 'intelijen', 'australia', 'wanti', 'wanti', 'ancam', 'teror', 'kelompok', 'iran', 'apa']",10
1 jam yang lalu,"Warung Makan di Bekasi Ludes Dilalap Api, Diduga Akibat Korsleting",https://news.detik.com/berita/d-8546108/warung-makan-di-bekasi-ludes-dilalap-api-diduga-akibat-korsleting,News,warung makan bekas ludes lalap api duga akibat korsleting,"['warung', 'makan', 'bekas', 'ludes', 'lalap', 'api', 'duga', 'akibat', 'korsleting']",9
1 jam yang lalu,Peserta SPPI Kopdes-KNPM Meninggal Saat Latihan Militer Jadi 3 Orang,https://news.detik.com/berita/d-8546099/peserta-sppi-kopdes-knpm-meninggal-saat-latihan-militer-jadi-3-orang,News,serta sppi kopdes knpm tinggal latih militer jadi orang,"['serta', 'sppi', 'kopdes', 'knpm', 'tinggal', 'latih', 'militer', 'jadi', 'orang']",9
1 jam yang lalu,"ASN Tewas dalam Mobil Dinas di Juanda Disebut Hamil, Pengacara Bantah",https://news.detik.com/berita/d-8546098/asn-tewas-dalam-mobil-dinas-di-juanda-disebut-hamil-pengacara-bantah,News,asn tewas mobil dinas juanda sebut hamil acara bantah,"['asn', 'tewas', 'mobil', 'dinas', 'juanda', 'sebut', 'hamil', 'acara', 'bantah']",9
1 jam yang lalu,Anak SD Pembunuh Ibu Kandung di Medan Divonis 5 Bulan Pendampingan,https://news.detik.com/berita/d-8546094/anak-sd-pembunuh-ibu-kandung-di-medan-divonis-5-bulan-pendampingan,News,anak sd bunuh ibu kandung medan vonis bulan damping,"['anak', 'sd', 'bunuh', 'ibu', 'kandung', 'medan', 'vonis', 'bulan', 'damping']",9
1 jam yang lalu,Video: Pengiriman 112 Kg Ganja ke Medan Terungkap Usai Kecelakaan di Tapanuli,https://20.detik.com/detikupdate/20260624-260624112/video-pengiriman-112-kg-ganja-ke-medan-terungkap-usai-kecelakaan-di-tapanuli,News,video kirim kg ganja medan ungkap usai celaka tapanuli,"['video', 'kirim', 'kg', 'ganja', 'medan', 'ungkap', 'usai', 'celaka', 'tapanuli']",9
1 jam yang lalu,Pelempar Molotov Salah Sasaran di Koja Kini dalam Pengejaran,https://news.detik.com/berita/d-8546090/pelempar-molotov-salah-sasaran-di-koja-kini-dalam-pengejaran,News,lempar molotov salah sasar koja kini kejar,"['lempar', 'molotov', 'salah', 'sasar', 'koja', 'kini', 'kejar']",7
2 jam yang lalu,"Video Presiden Iran: Jika Tak Miliki Rudal, Israel-AS Akan Serang Kami Seperti Gaza",https://20.detik.com/detikupdate/20260624-260624110/video-presiden-iran-jika-tak-miliki-rudal-israel-as-akan-serang-kami-seperti-gaza,News,video presiden iran tak milik rudal israel as serang seperti gaza,"['video', 'presiden', 'iran', 'tak', 'milik', 'rudal', 'israel', 'as', 'serang', 'seperti', 'gaza']",11
2 jam yang lalu,Video Eks Bos Taufik Hidayat: Benar Ada Duit Sayembara KDM? Kita Kasih ke Korban,https://20.detik.com/detikupdate/20260624-260624111/video-eks-bos-taufik-hidayat-benar-ada-duit-sayembara-kdm-kita-kasih-ke-korban,News,video eks bos taufik hidayat benar duit sayembara kdm kasih korban,"['video', 'eks', 'bos', 'taufik', 'hidayat', 'benar', 'duit', 'sayembara', 'kdm', 'kasih', 'korban']",11
2 jam yang lalu,Umat Syiah Berkumpul Sambut Asyura di Najaf,https://news.detik.com/foto-news/d-8545043/umat-syiah-berkumpul-sambut-asyura-di-najaf,News,umat syiah kumpul sambut asyura najaf,"['umat', 'syiah', 'kumpul', 'sambut', 'asyura', 'najaf']",6
2 jam yang lalu,"Prof Rycko Amelza: Data BPS RI Impor Jagung Sejak 1973 dan 2026 Setop, Polri Buat Sejarah",https://news.detik.com/berita/d-8546074/prof-rycko-amelza-data-bps-ri-impor-jagung-sejak-1973-dan-2026-setop-polri-buat-sejarah,News,prof rycko amelza data bps ri impor jagung sejak setop polri buat sejarah,"['prof', 'rycko', 'amelza', 'data', 'bps', 'ri', 'impor', 'jagung', 'sejak', 'setop', 'polri', 'buat', 'sejarah']",13
2 jam yang lalu,"Eks Menag Yaqut Sakit Pencernaan, Penahanan Dibantarkan ke RS Polri",https://news.detik.com/berita/d-8546063/eks-menag-yaqut-sakit-pencernaan-penahanan-dibantarkan-ke-rs-polri,News,eks menag yaqut sakit cerna tahan bantar rs polri,"['eks', 'menag', 'yaqut', 'sakit', 'cerna', 'tahan', 'bantar', 'rs', 'polri']",9
2 jam yang lalu,Mayat Wanita dalam Mobil Dinas di Bandara Juanda Ternyata ASN Pemkab Bangkalan,https://news.detik.com/berita/d-8546045/mayat-wanita-dalam-mobil-dinas-di-bandara-juanda-ternyata-asn-pemkab-bangkalan,News,mayat wanita mobil dinas bandara juanda nyata asn pemkab bangkal,"['mayat', 'wanita', 'mobil', 'dinas', 'bandara', 'juanda', 'nyata', 'asn', 'pemkab', 'bangkal']",10
2 jam yang lalu,"3 Kali Periksa Hilman Latief, KPK Makin Yakin soal Bagi Jatah Kuota Haji",https://news.detik.com/berita/d-8546036/3-kali-periksa-hilman-latief-kpk-makin-yakin-soal-bagi-jatah-kuota-haji,News,kali periksa hilman latief kpk makin yakin soal jatah kuota haji,"['kali', 'periksa', 'hilman', 'latief', 'kpk', 'makin', 'yakin', 'soal', 'jatah', 'kuota', 'haji']",11
2 jam yang lalu,Resolusi Setop Perang Iran Disahkan Bikin Trump Berang,https://news.detik.com/internasional/d-8546031/resolusi-setop-perang-iran-disahkan-bikin-trump-berang,News,resolusi setop perang iran sah bikin trump berang,"['resolusi', 'setop', 'perang', 'iran', 'sah', 'bikin', 'trump', 'berang']",8
2 jam yang lalu,Wamensos Apresiasi Pemkab Jember Verifikasi 14 Ribu Data Bansos,https://news.detik.com/berita/d-8546029/wamensos-apresiasi-pemkab-jember-verifikasi-14-ribu-data-bansos,News,wamensos apresiasi pemkab jember verifikasi ribu data bansos,"['wamensos', 'apresiasi', 'pemkab', 'jember', 'verifikasi', 'ribu', 'data', 'bansos']",8
3 jam yang lalu,Ko Erwin Bandar Narkoba Bima NTB Segera Disidang,https://news.detik.com/berita/d-8546026/ko-erwin-bandar-narkoba-bima-ntb-segera-disidang,News,ko erwin bandar narkoba bima ntb segera sidang,"['ko', 'erwin', 'bandar', 'narkoba', 'bima', 'ntb', 'segera', 'sidang']",8
3 jam yang lalu,"Andra Soni Wajibkan ASN Banten Lapor Pajak Kendaraan ke BKD, Tak Boleh Nunggak",https://news.detik.com/berita/d-8545999/andra-soni-wajibkan-asn-banten-lapor-pajak-kendaraan-ke-bkd-tak-boleh-nunggak,News,andra soni wajib asn banten lapor pajak kendara bkd tak nunggak,"['andra', 'soni', 'wajib', 'asn', 'banten', 'lapor', 'pajak', 'kendara', 'bkd', 'tak', 'nunggak']",11
3 jam yang lalu,Masdar Hilmy: Buku 'Mengawal Pangan Menuai Aman' Ungkap Peran Polri Dukung Sektor Jagung,https://news.detik.com/berita/d-8545995/masdar-hilmy-buku-mengawal-pangan-menuai-aman-ungkap-peran-polri-dukung-sektor-jagung,News,masdar hilmy buku awal pangan tuai aman ungkap peran polri dukung sektor jagung,"['masdar', 'hilmy', 'buku', 'awal', 'pangan', 'tuai', 'aman', 'ungkap', 'peran', 'polri', 'dukung', 'sektor', 'jagung']",13
3 jam yang lalu,Jaksa Tetapkan Eks Pejabat Kementerian PU Jadi Tersangka Suap Rp 2 M,https://news.detik.com/berita/d-8545989/jaksa-tetapkan-eks-pejabat-kementerian-pu-jadi-tersangka-suap-rp-2-m,News,jaksa tetap eks jabat menteri pu jadi sangka suap rp m,"['jaksa', 'tetap', 'eks', 'jabat', 'menteri', 'pu', 'jadi', 'sangka', 'suap', 'rp', 'm']",11
3 jam yang lalu,Eks Atasan Taufik Hidayat Minta Duit Sayembara KDM Diberi ke Korban,https://news.detik.com/berita/d-8545984/eks-atasan-taufik-hidayat-minta-duit-sayembara-kdm-diberi-ke-korban,News,eks atas taufik hidayat minta duit sayembara kdm beri korban,"['eks', 'atas', 'taufik', 'hidayat', 'minta', 'duit', 'sayembara', 'kdm', 'beri', 'korban']",10
3 jam yang lalu,Video Momen Emak-emak 'Gerebek' Barak Narkoba di Labura,https://20.detik.com/detikupdate/20260624-260624107/video-momen-emak-emak-gerebek-barak-narkoba-di-labura,News,video momen emak emak gerebek barak narkoba labura,"['video', 'momen', 'emak', 'emak', 'gerebek', 'barak', 'narkoba', 'labura']",8
3 jam yang lalu,Video: Komisi X DPR Usul Gaji Guru Layaknya Minimal Rp 5 Juta,https://20.detik.com/detik-sore/20260624-260624106/video-komisi-x-dpr-usul-gaji-guru-layaknya-minimal-rp-5-juta,News,video komisi x dpr usul gaji guru layak minimal rp juta,"['video', 'komisi', 'x', 'dpr', 'usul', 'gaji', 'guru', 'layak', 'minimal', 'rp', 'juta']",11
3 jam yang lalu,Waka MPR Sebut Piala Dunia Jadi Momen Tata Masa Depan Sepakbola RI,https://news.detik.com/berita/d-8545955/waka-mpr-sebut-piala-dunia-jadi-momen-tata-masa-depan-sepakbola-ri,News,waka mpr sebut piala dunia jadi momen tata masa depan sepakbola ri,"['waka', 'mpr', 'sebut', 'piala', 'dunia', 'jadi', 'momen', 'tata', 'masa', 'depan', 'sepakbola', 'ri']",12
3 jam yang lalu,"Sidang Perdana dr Tifa Digelar 2 Juli, Roy Suryo Tunggu Praperadilan",https://news.detik.com/berita/d-8545954/sidang-perdana-dr-tifa-digelar-2-juli-roy-suryo-tunggu-praperadilan,News,sidang perdana dr tifa gelar juli roy suryo tunggu praperadilan,"['sidang', 'perdana', 'dr', 'tifa', 'gelar', 'juli', 'roy', 'suryo', 'tunggu', 'praperadilan']",10
